route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,VITRASA,C1,CIRCULAR CENTRO,,3,,ED4713,000000
6,VITRASA,6,HOSP. ALVARO CUNQUEIRO - BEADE – PZA. ESPAÑA,,3,,CC3399,000000
7,VITRASA,7,PZA. ESPAÑA – GARRIDA / ZAMÁNS / SOBREIRA,,3,,96DC99,000000
8,VITRASA,A,ARENAL – PORTO / UNIVERSIDADE,,3,,77298F,000000
10,VITRASA,10,TEIS – CANIDO – SAIÁNS,,3,,993300,000000
11,VITRASA,11,SAN MIGUEL - CABRAL,,3,,D9556D,000000
13,VITRASA,13,TEIXUGUEIRAS – HOSP. MEIXOEIRO,,3,,00B0F0,000000
14,VITRASA,14,CHANS – GRAN VÍA,,3,,818E7E,000000
16,VITRASA,16,COIA – ESTACIÓN FF.CC. (GUIXAR),,3,,818E7E,000000
17,VITRASA,17,MATAMÁ (BALSA) – A GUÍA / RÍOS,,3,,D6F51F,000000
18,VITRASA,18A,	AREAL/COLÓN - SÁRDOMA/POULEIRA,,3,,D450A8,000000
23,VITRASA,23,M. ECHEGARAY – G. ESPINO,,3,,B9C8E4,000000
24,VITRASA,24,POULO – ESTACIÓN FF.CC. (GUIXAR),,3,,BFBFBF,000000
25,VITRASA,25,PZA. ESPAÑA – SABAXÁNS / CAEIRO,,3,,AC6404,000000
27,VITRASA,27,BEADE (C. CULTURAL) – RABADEIRA,,3,,704A2A,000000
28,VITRASA,28,VIGOZOO - SAN PAIO - BOUZAS,,3,,B0BDFE,000000
29,VITRASA,29,FRAGOSELO / S. ANDRÉS – PZA. ESPAÑA,,3,,F8B85A,000000
30,VITRASA, N1,SAMIL  – BUENOS AIRES,,3,,CCC7C7,000000
31,VITRASA,31,SAN LOURENZO – HOSP. MEIXOEIRO,,3,,F57F00,000000
101,VITRASA,H1,POLICARPO SANZ – HOSPITAL ÁLVARO CUNQUEIRO,,3,,0060A8,000000
102,VITRASA,H2,GREGORIO ESPINO – HOSPITAL ÁLVARO CUNQU,,3,,0060A8,000000
104,VITRASA,H,NAVIA - BOUZAS - HOSPITAL ALVARO CUNQUEIRO,,3,,0060A8,000000
105,VITRASA,H3,GARCÍA BARBÓN – HOSPITAL ÁLVARO CUNQUEIRO,,3,,0060A8,000000
201,VITRASA,U1 ,LANZADEIRA PZA. AMÉRICA – UNIVERSIDADE,,3,,AC6404,000000
202,VITRASA,U2 ,LANZADEIRA PZA. DE ESPAÑA – UNIVERSIDADE,,3,,AC6404,000000
301,VITRASA,PSA1,STELLANTIS - G.BARBON,,3,,009900,000000
304,VITRASA,PTL,PARQUE TECNOLÓXICO,,3,,96DC99,000000
306,VITRASA,LZD. PSA,STELLANTIS,,3,,D57300,000000
500,VITRASA,TUR,TURISTICO,,3,,FF0000,000000
751,VITRASA,LZD ,STELLANTIS - ALV. CUNQUEIRO,,3,,3D4EA7,000000
1101,VITRASA,11.,G. VÍA Y P. ESPAÑA,,3,,FF202D,000000
1201,VITRASA,12A,SAIÁNS – MUÍÑOS – HOSP. MEIXOEIRO,,3,,6A96BE,000000
1202,VITRASA,12B,HOSP. ALVARO CUNQUEIRO – HOSP. MEIXOEIRO,,3,,6A96BE,000000
1501,VITRASA,15A,CABRAL - SAMIL,,3,,D8A8CE,000000
1502,VITRASA,15B.,POR T. PAREDES,,3,,D8A8CE,000000
1504,VITRASA,15A.,GRILEIRA-CAEIRO,,3,,D8A8CE,000000
1506,VITRASA,15B,HOSP. MEIXOEIRO - SAMIL / NAVIA,,3,,D8A8CE,000000
1507,VITRASA,15C,UNIVERSIDADE – SAMIL / NAVIA,,3,,D8A8CE,000000
1801,VITRASA,18B,URZAIZ / P.ESPAÑA - POULEIRA,,3,,D450A8,000000
1802,VITRASA,18H,URZAIZ / P. ESPAÑA - H. ALV. CUNQUEIRO,,3,,D450A8,000000
2012,VITRASA,U1B,GARRIDA,,3,,AC6404,000000
3001,VITRASA,C3d,BOUZAS/COIA – ENCARNACIÓN Por G. BARBÓN,,3,,FFCC00,000000
3002,VITRASA,C3i,BOUZAS/COIA – ENCARNACIÓN por TRV. VIGO,,3,,FFCC00,000000
3301,VITRASA,N1,SAMIL - BUENOS AIRES,,3,,D2CDCD,000000
3305,VITRASA,N4,NAVIA - G. ESPINO,,3,,610F76,000000
4001,VITRASA,4A,ARAGÓN - COIA,,3,,009900,000000
4003,VITRASA,4C,G. ESPINO - COIA,,3,,009900,000000
4004,VITRASA,PSA4,STELLANTIS - G. BARBON,,3,,009900,000000
4005,VITRASA,4A-,COIA-POULO,,3,,009900,000000
4006,VITRASA,4A.,POULO-ARAGÓN,,3,,009900,000000
5001,VITRASA,5A,NAVIA-TRV. DE VIGO ,,3,,CCAFAF,000000
5004,VITRASA,5B,NAVIA-S. BADÍA ,,3,,DFD5D5,000000
5011,VITRASA,5A.,NAVIA-TRV. DE VIGO,,3,,00B0F0,000000
5044,VITRASA,5B.,NAVIA-S. BADÍA,,3,,00B0F0,000000
6001,VITRASA,6.,BOUZAS,,3,,CC3399,000000
7001,VITRASA,MARISQUIÑO,SAMIL - TRAVESIA VIGO,,3,,009900,000000
8001,VITRASA,R,L8 R,,3,,77298F,000000
9002,VITRASA,9B,P. SANZ - RABADEIRA,,3,,F4CA8C,000000
9003,VITRASA,9B.,BOUZAS,,3,,F4CA8C,000000
